comment,label
ku cari trailer doang ama iklan gk skip,negatif
bayar apk susah buka ribet bgt,negatif
good,positif
bola wajid dah vidio dsni siaran jernih no debat biaya murah vidio,positif
gak beli paket error,negatif
doan min siaran tv animal siaran tv dunia satwa suka nonton acara,negatif
paket diamond mobile knp tdk nonton bwf open,negatif
udh ga film pdhl minggu kmrn msh lgkp,negatif
saldo potong,negatif
udh beli paket tv android pa final gak,negatif
kecewa apl kali buka nonton eror gabisa muter seudah restart tab hapus cache instal ulang premium,negatif
iklan cuman nonton ga prem,negatif
iklan vip,negatif
apk sulit udah nggak sulit setara bikin surat tanah kendala suruh ganti negara no hp email udah lakuin aja error,negatif
hilang,negatif
film seru gak film suka nonton gundam seed freedom ga tetep seru pembuat app video tolong masukin film gundam seed freedom plisss,negatif
nonton episode tv tp episode gak tv tp dihp sungguh aneh movie gak,negatif
gak busa nonton league kasihan hp,negatif
nonton miss mega bintang,positif
oke,positif
speed dirumah mbps gak kuat sampe kek,negatif
gb nobar vc,negatif
kode coba masuk,positif
kesini pengen nonton grand final miss mega bintang,positif
video play bagus kenceng nonton youtube p lancar giliran vidio server,negatif
gak instal laptop ya,negatif
lemot lemot banget udah bayar gabisa diputer,negatif
gak udah beli paket ttp gak,negatif
gimana bayar nihh gagal mulu pke pulsa,negatif
sukses,positif
min film india vidio,negatif
banget tolong,positif
ya suka,positif
pelit,negatif
udh beli gk,negatif
koret pisan ulah kudu mayar juta mayar na gw koret vidio koret,negatif
udh beli paket ttp gk nonton liga,negatif
jelek banget masuk live mulu,negatif
jualan iklan,negatif
pelit,negatif
udha giliran masuk stok logo doang rugi,negatif
vidio sdh premium gak nonton beli paket premium dev,negatif
serba male,negatif
beli paket aja pake lupa pulihin gak sampah gak,negatif
nonton sheries gak isi paketan masak beli gak nonton rugi,negatif
apl live,negatif
beli kuota pakai uang bos eh pa nonton iklanya gk liat lg live gak berguna,negatif
maaf nonton konten movie anime notif membeli paket premier pa klik beli paket arahkan paket udah paket beli paket jugaada notif paket ya mohon,negatif
saran tipe harian bayar murah dibeli,negatif
the best,positif
gratis,positif
apk bagus filem enak tonton paket goceng heheh ga uang pen nonton film,positif
bagud,positif
gabisa liat siaran ulang liat acara kemaren gabisa,negatif
video bagus populer,positif
yaampun ngebung parah banget video udh bntr iklan trus loading trus cuman muter gk gambar tp blm tau dah klw dah gk marah plus lgi nonton menit udh nonton tv tp parah bgt,negatif
paket ehh error gimana ni minn mohon,negatif
mantaps,positif
senang banget film lihat bola seru lihat kartun lihat palawan yangku suka,positif
good,positif
nonton tv bayar,negatif
gatau gimana apk bru tpi intinya blg apk video bagus tmenÂ² jg bilang klo apk video bagus mo nonton film vina,positif
duit tarik,negatif
bagus vidio jernih gak iklan bintang gabut,negatif
gk kalo menagih tagihan saldo,negatif
nonton iklan,negatif
nonton premium bingung sya,negatif
kren,positif
duit habis fitur sampah minimal milih dasar scam,negatif
udh tpi pa nonton eror,negatif
min tolong episode ggs episode acak bingung alir ga teratur min tolong,negatif
gak paket harian kecewa video,negatif
bagus,positif
tolong sisttem capture,negatif
buruk premium,negatif
balikin saldo dana gua udah kaga tp nyedot saldo melulu butut,negatif
sampah pro liga rapi gak lihat siaran,negatif
udah aja pa nonton siaran ulangan gak ngotak,negatif
dikit kak,negatif
haha,negatif
nonton final mmbi,positif
gak kudu astaga vidio film india gak,negatif
tv pake payah,negatif
iklan bayar,negatif
i like this,positif
live minn tolong atasin,negatif
iklanny bnykkkk bngtt mmbuat ngk nymn lgi ngk bsa d skip kurangi dongg iklanny pdhal apk udh bagug lohh jga pngn tpi kn blum atm tolong dongg deh klo gnggu bngtt,negatif
memuas kadang vidio gk buka trus keputar vidio,positif
delay mulu bangke ngk tv gk hp parah kacaoo udah bayar,negatif
nyari rcti,positif
servis data kuat tulis paket premier league buka x bole,positif
gokill gwa nonton tv hp gila pokonya keren banget,positif
bagus,positif
disaat paket eror disaat paket uda paket ga aktif nih apk bener bener ga gua kasih bintang biar orang tau,negatif
bayar,negatif
njir gw film adegan pendek cuman menit,negatif
bulanan biaya,negatif
lumayan,positif
selamat malam semoga nyaman lancar,positif
ga memutar film,negatif
bagus sih video cuman video enam puluh menit menit ya,positif
koq gak dibuka ya,negatif
ok,positif
bagus video,positif
bagus bola mola tv,positif
buka,negatif
gak bagus iklan,negatif
pulsa potong gak nonton tolong tolong gimna pulsa d potong dapan d video jelek,negatif
kecewa iklan bngt udah gitu gabisa skip,negatif
